time symbol vwap
4:00:00 A 73.83
4:00:00 AA 53.67
4:00:00 AAAP 81.96
4:00:00 AABA 77.78
4:00:00 AADR 61.99
4:00:00 AAL 52.64
4:00:00 AAN 41.68
4:00:00 AAOI 32.39
4:00:00 AAON 36.02
4:00:00 AAP 121.66
4:00:00 AAPL 165.51
4:00:00 AAT 34.91
4:00:00 AAU 0.88
4:00:00 AAWW 58.23
4:00:00 AAXJ 81.35
4:00:00 AAXN 27.28
4:00:00 ABAX 74.77
4:00:00 ABB 28.08
4:00:00 ABBV 119.42
4:00:00 ABC 100.98
4:00:00 ABCB 55.04
4:00:00 ABCD 7.06
4:00:00 ABEO 15.25
4:00:00 ABEV 6.82
4:00:00 ABG 74.65
4:00:00 ABIO 1.78
4:00:00 ABLX 54.36
4:00:00 ABM 38.41
4:00:00 ABMD 228.74
4:00:00 ABR 8.32
4:00:00 ABT 62.61
4:00:00 ABTX 40.75
4:00:00 ABUS 5.12
4:00:00 ABX 14.47
4:00:00 ACAD 31.08
4:00:00 ACBI 17.32
4:00:00 ACC 38.48
4:00:00 ACET 11.64
4:00:00 ACFC 10.54
4:00:00 ACGL 91.84
4:00:00 ACGLO 24.79
4:00:00 ACGLP 23.43
4:00:00 ACH 17.6
4:00:00 ACHC 34.33
4:00:00 ACHN 2.76
4:00:00 ACIA 35.08
4:00:00 ACIU 13.43
4:00:00 ACIW 23.02
4:00:00 ACLS 26.1
4:00:00 ACM 38.79
4:00:00 ACMR 5.4
4:00:00 ACN 160.57
4:00:00 ACOR 26.88
4:00:00 ACP 14.46
4:00:00 ACRE 12.84
4:00:00 ACRS 23.05
4:00:00 ACST 1.17
4:00:00 ACTG 3.95
4:00:00 ACU 24.04
4:00:00 ACV 22.48
4:00:00 ACWI 76.37
4:00:00 ACXM 27.4
4:00:00 ADAP 9.0
4:00:00 ADBE 196.5
4:00:00 ADC 48.02
4:00:00 ADES 8.12
4:00:00 ADI 92.5
4:00:00 ADM 42.63
4:00:00 ADMA 3.91
4:00:00 ADMP 3.68
4:00:00 ADMS 37.9
4:00:00 ADNT 66.38
4:00:00 ADOM 1.68
4:00:00 ADP 120.87
4:00:00 ADRE 47.42
4:00:00 ADRO 6.72
4:00:00 ADS 255.47
4:00:00 ADSK 115.65
4:00:00 ADSW 24.19
4:00:00 ADT 12.05
4:00:00 ADTN 16.11
4:00:00 ADUS 36.42
4:00:00 ADVM 7.29
4:00:00 ADXS 3.0
4:00:00 AEE 56.06
4:00:00 AEG 6.9
4:00:00 AEGN 25.51
4:00:00 AEIS 73.22
4:00:00 AEL 34.56
4:00:00 AEM 48.13
4:00:00 AEMD 1.62
4:00:00 AEO 18.29
4:00:00 AEP 68.24
4:00:00 AER 54.79
4:00:00 AERI 56.36
4:00:00 AES 11.73
4:00:00 AET 188.12
